id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link,Address,Date_time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude_rain,Longitude,Resolved Address,"Name, Info, Conditions",
109,07/01/07,,NA,United States,US,Texas,42409,Haltom City,0.03668,,32.7995,-97.2688,"(32.799500000000002, -97.268799999999999)",Landslide,Landslide,Medium,Rain,,,,NBC5i.com,http://www.nbc5i.com/news/13604036/detail.html,"32.7995,-97.2688",07/01/07,71.9,88.1,76.3,70.7,83.57,95.8,15.1,32.8,,,0.63,20.83,,9.2,36.6,1013.8,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Heavy Rain, Light Rain",32.7995,-97.2688,"32.7995,-97.2688","Rain, Partially cloudy",
115,07/04/07,,NA,Mexico,MX,Veracruz-Llave,1947,Laguna Chica (Pueblo Nuevo),9.51003,,18.5369,-96.8229,"(18.536899999999999, -96.822900000000004)",Landslide,Landslide,Medium,Rain,,,7,nytimes.com,http://www.nytimes.com/2007/07/04/world/americas/04cnd-mexico.html?_r=1&hp&oref=slogin,"18.5369,-96.8229",07/04/07,62,80.9,71.7,63.3,76.2,83.4,8.9,15.7,,,0,0,,17.8,51.7,1012.6,,18.5369,-96.8229,"18.5369,-96.8229",Partially cloudy,
119,07/08/07,,NA,Canada,CA,Ontario,812129,Ottawa,1.74759,,45.4257,-75.6896,"(45.425699999999999, -75.689599999999999)",Landslide,Landslide,Small,Unknown,,,,,http://www.cfra.com/headlines/index.asp?cat=1&nid=50672,"45.4257,-75.6896",07/08/07,60.9,71.7,65.2,63.7,95.1,,6.6,19.7,,,0.79,12.5,,,0,1006.8,,45.4257,-75.6896,"45.4257,-75.6896",Rain,
124,7/13/07,Night,NA,Dominican Republic,DO,Distrito Nacional,13456,San Carlos,1.70298,,18.4757,-69.914,"(18.4757, -69.914000000000001)",Landslide,Landslide,Small,Unknown,,,,Dominican Today,http://www.dominicantoday.com/app/article.aspx?id=24682,"18.4757,-69.914",07/13/2007,75.3,89.7,82.4,76.1,82.16,102.8,11.4,,,,0,0,,6.5,71.5,1016.6,"Precipitation In Vicinity, Rain, Smoke Or Haze",18.4757,-69.914,"18.4757,-69.914",Partially cloudy,
138,7/24/07,,NA,United States,US,Texas,175396,Grand Prairie,5.66936,,32.7883,-97.0317,"(32.7883, -97.031700000000001)",Landslide,Landslide,Small,Rain,,,,Trinity River Authority - Grand Prarie Times,http://www.gptimes.com/?story_20070627130646_story&pg7pg&storycat_GrandPrairie0_storycat,"32.7883,-97.0317",07/24/2007,70.5,88.7,79.8,62.9,59.46,88.3,11.3,,,,0,0,,9.7,23,1014,Mist,32.7883,-97.0317,"32.7883,-97.0317",Clear,
165,08/09/07,,NA,Guatemala,GT,Guatemala,47247,San José Pinula,4.74385,,14.5667,-90.45,"(14.566700000000001, -90.45)",Landslide,Mudslide,Medium,Rain,,,5,International Herald,http://www.iht.com/articles/ap/2007/08/09/america/LA-GEN-Guatemala-Deadly-Mudslide.php,"14.5667,-90.45",08/09/07,62.3,77.1,68.9,60.3,75.67,,20.8,,,,0.26,8.7,,9.9,77.8,1013.1,"Light Drizzle, Rain, Sky Unchanged",14.5667,-90.45,"14.5667,-90.45","Rain, Overcast",
174,08/11/07,,NA,Jamaica,JM,Portland,14400,Port Antonio,7.79027,,18.1258,-76.5082,"(18.125800000000002, -76.508200000000002)",Landslide,Landslide,Medium,Rain,,,,Jamaica Gleaner,http://www.jamaica-gleaner.com/gleaner/20070812/lead/lead2.html,"18.1258,-76.5082",08/11/07,73.1,80,76.5,71.6,85.04,,18.3,,,,2.21,9.09,,6.2,97.7,1013.7,"Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Increasing",18.1258,-76.5082,"18.1258,-76.5082","Rain, Overcast",
185,8/14/07,,NA,United States,US,Colorado,2475,Meeker,10.87949,,39.9425,-107.8818,"(39.942500000000003, -107.8818)",Landslide,Mudslide,Medium,Rain,,,,Telluride Daily Planet,http://www.telluridegateway.com/articles/2007/08/16/news/news02.txt,"39.9425,-107.8818",08/14/2007,55.4,84.8,69.4,50.4,52.7,82.4,7.6,,,,0.02,8.33,,9.9,34.6,1015.7,"Thunderstorm, Light Rain",39.9425,-107.8818,"39.9425,-107.8818","Rain, Partially cloudy",
186,8/17/07,,NA,Dominica,DM,Saint Paul,702,Pont Cassé,3.39516,,15.3379,-61.361,"(15.337899999999999, -61.360999999999997)",Landslide,Mudslide,Small,Tropical cyclone,Hurricane Dean,,2,Tribune India,http://www.tribuneindia.com/2007/20070817/himachal.htm,"15.3379,-61.361000000000004",,,,,,,,,,,,0,,,,,,,15.3379,-61.361,"15.3379,-61.361000000000004",,
187,8/18/07,,NA,United States,US,Minnesota,2868,Caledonia,22.31062,,43.596,-91.2256,"(43.595999999999997, -91.2256)",Landslide,Landslide,Medium,Rain,,,,The Sun Times,"http://www.suntimes.com/news/nation/516414,19flooding.article","43.596000000000004,-91.2256",08/18/2007,57.6,61.1,59.6,55.1,85.37,,11.8,,,,2.31,66.67,,8.6,71.9,1019.9,"Mist, Rain, Thunderstorm, Rain Showers, Heavy Rain, Light Rain",43.596,-91.2256,"43.596000000000004,-91.2256","Rain, Partially cloudy",
188,8/18/07,,NA,United States,US,Wyoming,9520,Cody,64.74594,,44.4659,-109.8662,"(44.465899999999998, -109.86620000000001)",Landslide,Landslide,Small,Rain,,,,Billings Gazette,http://www.billingsgazette.net/articles/2007/08/19/news/wyoming/38-mudslide.txt,"44.4659,-109.8662",08/18/2007,47.7,67,56.3,47.1,71.79,,6.9,,,48.1,0.17,33.33,,9.5,6.4,1017.3,Thunderstorm,44.4659,-109.8662,"44.4659,-109.8662",Rain,
189,8/18/07,,NA,United States,US,Minnesota,106769,Rochester,0.9999,,44.0304,-92.4671,"(44.0304, -92.467100000000002)",Landslide,Mudslide,Small,Rain,,,,Post bulletin.com,http://www.postbulletin.com/newsmanager/templates/localnews_story.asp?a=304463&z=2,"44.0304,-92.4671",08/18/2007,57.1,60.1,58.6,54.5,86.42,,16.8,,,,3.72,75,,6.1,87.2,1019.3,"Mist, Rain, Thunderstorm, Rain Showers, Heavy Rain, Light Rain",44.0304,-92.4671,"44.0304,-92.4671","Rain, Overcast",
193,8/19/07,,NA,United States,US,Wisconsin,51320,La Crosse,13.62525,,43.6796,-91.2194,"(43.679600000000001, -91.219399999999993)",Landslide,Complex,Medium,Rain,,,,LaCrosse Tribune.com,http://www.lacrossetribune.com/articles/2007/08/20/news/03hwy35.txt,"43.6796,-91.2194",08/19/2007,58,65,62.2,60.3,93.47,,11.5,,,,3.54,83.33,,8,100,1013.5,"Drizzle, Mist, Thunderstorm, Rain, Fog, Heavy Rain, Light Rain",43.6796,-91.2194,"43.6796,-91.2194","Rain, Overcast",
194,8/19/07,,NA,United States,US,Wisconsin,51320,La Crosse,12.91337,,43.689,-91.2806,"(43.689, -91.280600000000007)",Landslide,Mudslide,Medium,Rain,,,,FOX news,http://www.fox23news.com/news/national/story.aspx?content_id=1461f8d9-26cc-4316-9924-59f5baeaba9c,"43.68899999999999,-91.2806",08/19/2007,57.9,64.9,62.2,60.3,93.48,,11.9,,,,3.57,83.33,,8,100,1013.5,"Drizzle, Mist, Thunderstorm, Rain, Fog, Heavy Rain, Light Rain",43.689,-91.2806,"43.68899999999999,-91.2806","Rain, Overcast",
197,8/20/07,,NA,United States,US,West Virginia,1526,Glendale,3.492,,39.958,-80.7935,"(39.957999999999998, -80.793499999999995)",Landslide,Mudslide,Small,Rain,,,,WTOV9.com,http://www.wtov9.com/news/13943449/detail.html,"39.958,-80.7935",08/20/2007,60.2,74.4,66.2,62.8,88.88,,10.2,30,,,0.89,66.67,,4.7,65.4,1017,"Mist, Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Smoke Or Haze",39.958,-80.7935,"39.958,-80.7935","Rain, Partially cloudy",
198,8/21/07,,NA,Guatemala,GT,Alta Verapaz,2006,Lanquín,13.39817,,15.6046,-90.0853,"(15.6046, -90.085300000000004)",Landslide,Landslide,Medium,Tropical cyclone,Hurricane Dean,,,United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/EDIS-76BSG6?OpenDocument,"15.6046,-90.0853",,,,,,,,,,,,0,,,,,,,15.6046,-90.0853,"15.6046,-90.0853",,
199,8/21/07,,NA,Guatemala,GT,Izabal,18994,Morales,12.55184,,15.5163,-88.9286,"(15.516299999999999, -88.928600000000003)",Landslide,Landslide,Medium,Tropical cyclone,Hurricane Dean,,,United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/EDIS-76BSG6?OpenDocument,"15.5163,-88.9286",08/21/2007,75.3,93.3,82.2,74.9,80,107.8,13.9,,,,0,0,,8.1,80,1006.8,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",15.5163,-88.9286,"15.5163,-88.9286",Overcast,
201,8/23/07,,NA,Mexico,MX,Puebla,1414,Xochitlaxco (San Baltazar),1.68294,,19.9333,-97.85,"(19.933299999999999, -97.85)",Landslide,Mudslide,Medium,Tropical cyclone,Hurricane Dean,,6,Inquirer.com,http://newsinfo.inquirer.net/breakingnews/world/view_article.php?article_id=84452,"19.9333,-97.85",08/23/2007,54.9,69.2,61.6,56.7,84.91,,6,,,,0.15,33.33,,10.4,92.8,1014.2,"Drizzle, Sky Coverage Increasing, Smoke Or Haze",19.9333,-97.85,"19.9333,-97.85","Rain, Overcast",
224,09/01/07,,NA,Trinidad and Tobago,TT,Tobago,17000,Scarborough,9.11607,,11.2415,-60.6742,"(11.2415, -60.674199999999999)",Landslide,Landslide,Medium,Tropical cyclone,Hurricane Felix,,,Trinadad Express,http://www.trinidadexpress.com/index.pl/article_news?id=161197580,"11.2415,-60.6742",09/01/07,75.3,82.5,78.8,72.9,82.32,89.2,20.8,,,,3.68,14.29,,6.5,91,1014.1,"Precipitation In Vicinity, Rain Showers, Light Rain, Smoke Or Haze",11.2415,-60.6742,"11.2415,-60.6742","Rain, Overcast",
225,09/02/07,,NA,Mexico,MX,Sinaloa,3191,El Limón de los Ramos,10.88351,,24.9531,-107.622,"(24.953099999999999, -107.622)",Landslide,Complex,Medium,Tropical cyclone,Tropical Storm Henrietta,,3,,,"24.9531,-107.62200000000001",09/02/07,82.5,96.9,92.6,78.9,65.31,116.4,6.9,,,,0,0,,8.9,68,1006.5,,24.9531,-107.622,"24.9531,-107.62200000000001",Partially cloudy,
228,09/03/07,,NA,United States,US,New Mexico,1788,Jemez Pueblo,12.89915,,35.7297,-106.713,"(35.729700000000001, -106.71299999999999)",Landslide,Mudslide,Medium,Rain,,,,,,"35.7297,-106.713",09/03/07,41.2,70.1,56.7,46,69.85,,9.5,,,37.2,0,0,,9.9,4.5,1015.9,,35.7297,-106.713,"35.7297,-106.713",Clear,
229,09/04/07,,NA,Nicaragua,NI,Atlántico Norte,6315,Bonanza,54.90196,,13.667,-84.2435,"(13.667, -84.243499999999997)",Landslide,Complex,Medium,Tropical cyclone,Hurricane Felix,,,United Nations Development Programme - Relief Web,http://www.reliefweb.int/,No weather stations found within 50.0mi of location 13.667,-84.2435.,,,,,,,,,,,,,,,,,,,,,,
230,09/05/07,,NA,El Salvador,SV,Ahuachapán,7797,Concepción de Ataco,0.00273,,13.8703,-89.8486,"(13.8703, -89.848600000000005)",Landslide,Mudslide,Medium,Tropical cyclone,Hurricane Felix,,,Azcentral.com,http://www.azcentral.com/news/articles/1108sr-fhsistercity1109-ON.html,"13.8703,-89.8486",,,,,,,,,,,,0,,,,,,,13.8703,-89.8486,"13.8703,-89.8486",,
235,09/05/07,,NA,United States,US,Wyoming,1176,Hoback,9.42463,,43.2046,-110.8317,"(43.204599999999999, -110.8317)",Landslide,Landslide,Medium,Rain,,,,,,"43.2046,-110.8317",09/05/07,48.2,63.1,53.8,50.3,88.19,,20.8,,,,0.22,20.83,,8.8,21.7,1009.4,"Mist, Thunderstorm, Heavy Rain, Light Rain",43.2046,-110.8317,"43.2046,-110.8317",Rain,
236,09/05/07,,NA,United States,US,Idaho,2689,Ketchum,4.51471,,43.6846,-114.4194,"(43.684600000000003, -114.4194)",Landslide,Mudslide,Medium,Rain,,,,,,"43.6846,-114.4194",09/05/07,43.9,60.2,50.8,41.9,71.98,,9.8,,,44.2,0.09,16.67,,17.9,16.9,1010.3,"Light Drizzle, Rain Showers, Light Rain",43.6846,-114.4194,"43.6846,-114.4194",Rain,
238,09/06/07,,NA,United States,US,Colorado,12088,Steamboat Springs,2.63588,,40.4613,-106.8295,"(40.461300000000001, -106.8295)",Landslide,Mudslide,Small,Rain,,,,Craigdailypress.com,http://www.craigdailypress.com/news/2007/sep/08/news_mudslide/,"40.4613,-106.8295",09/06/07,45.3,66,54.2,45.5,75.35,,19.2,,,41.6,0.27,25,,8,70.8,1014.2,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Fog, Light Rain",40.4613,-106.8295,"40.4613,-106.8295","Rain, Partially cloudy",
249,09/09/07,,NA,Costa Rica,CR,Heredia,21947,Heredia,0.26208,,10,-84.1167,"(10, -84.116699999999994)",Landslide,Landslide,Medium,Rain,,,,ticotimes.net,http://www.ticotimes.net/dailyarchive/2007_09/0911072.htm,"10.0,-84.1167",09/09/07,64.5,81.7,70.3,65.3,85.79,83.2,12,,,,0,0,,5.7,78.9,1010.9,"Mist, Precipitation In Vicinity, Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Heavy Rain, Light Rain, Smoke Or Haze",10,-84.1167,"10.0,-84.1167",Overcast,
250,09/09/07,,NA,Dominica,DM,Saint George,16571,Roseau,2.59849,,15.3055,-61.3642,"(15.3055, -61.364199999999997)",Landslide,Landslide,Medium,Rain,Tropical Wave,,,RadioJamaica,http://www.radiojamaica.com/content/view/1156/88/,"15.3055,-61.3642",09/09/07,75.4,89.7,82.1,73.2,75.09,100.2,9.8,,,,0.12,14.29,,8.3,63.9,1015.2,"Precipitation In Vicinity, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Increasing",15.3055,-61.3642,"15.3055,-61.3642","Rain, Partially cloudy",
268,9/17/07,,NA,United States,US,Colorado,4518,New Castle,4.25758,,39.5542,-107.5798,"(39.554200000000002, -107.57980000000001)",Landslide,Mudslide,Medium,Rain,,,,KJCT news,http://kjct8.com/Global/story.asp?S=7085534,"39.5542,-107.5798",09/17/2007,51.1,68.8,58.6,47,67.26,,14.5,31.1,,,0.77,62.5,,9.4,56.2,1010.1,"Mist, Thunderstorm, Rain, Heavy Rain, Light Rain",39.5542,-107.5798,"39.5542,-107.5798","Rain, Partially cloudy",
277,9/22/07,,NA,Guatemala,GT,Guatemala,994938,Guatemala City,2.79113,,14.6229,-90.5316,"(14.6229, -90.531599999999997)",Landslide,Mudslide,Medium,Rain,,,3,Fox News,"http://www.foxnews.com/story/0,2933,297714,00.html","14.6229,-90.5316",09/22/2007,62.3,75.3,66.7,61.8,85.31,,13.9,,,,2.14,4.35,,6.3,80,1012.3,"Drizzle, Mist, Light Drizzle, Rain, Thunderstorm, Rain Showers, Heavy Rain, Light Rain, Sky Unchanged",14.6229,-90.5316,"14.6229,-90.5316","Rain, Overcast",
284,9/28/07,,NA,Mexico,MX,Puebla,3761,Xaltepuxtla,7.93258,,20.2,-97.9,"(20.2, -97.9)",Landslide,Mudslide,Medium,Tropical cyclone,Hurricane Lorenzo,,1,PressTV.ir,http://www.presstv.ir/detail.aspx?id=25037&sectionid=3510207,"20.2,-97.9",09/28/2007,56.9,78.9,67.4,64.9,91.89,,9.2,,,,2.55,44.44,,5.8,98.9,1016.5,"Drizzle, Mist, Light Drizzle, Fog, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",20.2,-97.9,"20.2,-97.9","Rain, Overcast",
297,10/08/07,,NA,Haiti,HT,Artibonite,7294,Gros Morne,8.70343,,19.699,-72.754,"(19.699000000000002, -72.754000000000005)",Landslide,Landslide,Medium,Downpour,,,,,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=3285,"19.699,-72.75399999999999",,,,,,,,,,,,0,,,,,,,19.699,-72.754,"19.699,-72.75399999999999",,
299,10/09/07,,NA,Costa Rica,CR,San José,3072,San Ignacio,4.57763,,9.7789,-84.125,"(9.7789000000000001, -84.125)",Landslide,Complex,Medium,Rain,,,4,ticotimes.net,http://www.ticotimes.net/dailyarchive/2007_10/1010071.htm,"9.7789,-84.125",10/09/07,66.3,69.9,68.2,66.5,94.26,,9,,,,1.9,13.04,,4.3,88.5,1010.8,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Fog, Light Rain",9.7789,-84.125,"9.7789,-84.125","Rain, Overcast",
301,10/11/07,,NA,Costa Rica,CR,Alajuela,7014,Atenas,3.08459,,9.9869,-84.407,"(9.9869000000000003, -84.406999999999996)",Landslide,Mudslide,Large,Rain,,,14,"Agence France-Presse, afp.google.com",http://afp.google.com/article/ALeqM5hu6a8oyAM1ycq9nU_6Zyj_l7F0AA,"9.9869,-84.40700000000001",10/11/07,66.3,72.9,69.1,66.2,90.87,,10.7,,,,2.58,15.79,,5.8,91.2,1012.2,"Drizzle, Mist, Light Drizzle, Precipitation In Vicinity, Light Drizzle/Rain, Fog, Light Rain",9.9869,-84.407,"9.9869,-84.40700000000001","Rain, Overcast",
302,10/11/07,,NA,Costa Rica,CR,San José,26669,,9.56251,,10.0214,-83.9451,"(10.0214, -83.945099999999996)",Landslide,Landslide,Large,Rain,,,10,International Herald,http://www.iht.com/articles/ap/2007/10/12/america/LA-GEN-Costa-Rica-Mudslide.php,"10.0214,-83.9451",10/11/07,66.3,72.4,69.1,66.2,90.83,,11,,,,2.58,15.79,,5.5,90.5,1012.2,"Drizzle, Mist, Light Drizzle, Precipitation In Vicinity, Light Drizzle/Rain, Fog, Light Rain",10.0214,-83.9451,"10.0214,-83.9451","Rain, Overcast",
303,10/12/07,,NA,Haiti,HT,Ouest,3951,Cabaret,0.51272,,18.7335,-72.4133,"(18.733499999999999, -72.413300000000007)",Landslide,Complex,Large,Rain,,,23,Euronews.net,http://www.euronews.net/index.php?page=info&article=448067&lng=1,"18.7335,-72.4133",10/12/07,86.1,87.9,87,75.3,68.35,98,6.9,,,,0,0,,6.8,50,,,18.7335,-72.4133,"18.7335,-72.4133",Partially cloudy,
304,10/12/07,,NA,Jamaica,JM,St. Elizabeth,1371,Maggotty,4.57363,,18.1257,-77.7405,"(18.125699999999998, -77.740499999999997)",Landslide,Complex,Medium,Rain,,,,RadioJamaica,http://www.radiojamaica.com/content/view/2039/26/,"18.1257,-77.7405",10/12/07,75.3,84.3,79.6,76.6,90.77,96.4,12.8,,,,1.21,18.18,,8.2,91.4,1008.5,"Lightning Without Thunder, Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing",18.1257,-77.7405,"18.1257,-77.7405","Rain, Overcast",
307,10/13/07,,SA,Colombia,CO,Cauca,9985,Suárez,8.46579,,2.9437,-76.7719,"(2.9437000000000002, -76.771900000000002)",Landslide,Mudslide,Large,Continuous rain,,,24,Reuters - AlertNet.org,http://www.reuters.com/article/newsOne/idUSN1329387220071013,"2.9437,-76.7719",10/13/2007,66.3,81.8,72.5,66,81.08,83.5,11.4,,,,0.03,4.35,,5.1,87.8,,"Mist, Precipitation In Vicinity, Light Drizzle, Fog, Smoke Or Haze",2.9437,-76.7719,"2.9437,-76.7719","Rain, Overcast",
314,10/17/07,,NA,Jamaica,JM,Saint Thomas,2382,Bath,0.21825,,17.95,-76.35,"(17.95, -76.349999999999994)",Landslide,Mudslide,Medium,Rain,,,,RadioJamaica,http://www.radiojamaica.com/content/view/2193/26/,"17.95,-76.35",10/17/2007,77.1,84.3,80.6,71.5,74.11,91.3,15,,,,0.02,4.35,,8.2,71.3,1012.4,"Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Smoke Or Haze",17.95,-76.35,"17.95,-76.35","Rain, Partially cloudy",
323,10/24/07,,NA,Costa Rica,CR,Puntarenas,6540,Miramar,3.82425,Mine construction,10.0715,-84.7575,"(10.0715, -84.757499999999993)",Landslide,Mudslide,Medium,Downpour,,,,Reuters - AlertNet.org,http://www.reuters.com/article/companyNewsAndPR/idUSN2435152820071025,"10.0715,-84.7575",10/24/2007,65.5,78.9,70.9,65.6,84.22,,12.8,,,,0.02,4.35,,7,70.9,1010.1,"Drizzle, Mist, Precipitation In Vicinity, Light Drizzle, Fog",10.0715,-84.7575,"10.0715,-84.7575","Rain, Partially cloudy",
333,10/29/07,,NA,Dominican Republic,DO,San Cristóbal,66784,Bajos de Haina,1.72138,,18.427,-70.044,"(18.427, -70.043999999999997)",Landslide,Mudslide,Medium,Tropical cyclone,Tropical Storm Noel,,3,United Nations Development Programme - Relief Web,http://news.scotsman.com/international.cfm?id=1730152007,"18.427,-70.044",10/29/2007,73.5,81,76.4,74.6,94.27,86.1,26.8,,,,5.9,22.73,,4.2,100,1009.1,"Thunderstorm, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",18.427,-70.044,"18.427,-70.044","Rain, Overcast",
334,10/29/07,,NA,Haiti,HT,Ouest,1234742,Port-au-Prince,2.72168,,18.5146,-72.3361,"(18.514600000000002, -72.336100000000002)",Landslide,Complex,Medium,Tropical cyclone,Tropical Storm Noel,,,ABC news,http://www.abcnews.go.com/International/wireStory?id=3807131,"18.5146,-72.3361",10/29/2007,82.5,82.5,82.5,75.3,78.93,89.7,19.5,,,,0,0,,5.6,90,,,18.5146,-72.3361,"18.5146,-72.3361",Overcast,
